marker,article,context,provenance,link
2010,W13-4917,"The Stanford Arabic Phrase Structure Treebank In order to stay compatible with the state of the art, we provide the constituency data set with most of the pre-processing steps of Green and Manning (2010)",The intuition here is that the role of a discourse marker can usually be de 9 Both the corpus split and pre-processing code are avail-. able at http://nlp.stanford.edu/projects/arabic.shtml.,http://www.aclweb.org/anthology/W/W13/W13-4917.pdf
2010,W13-4917,"We finally remove all traces, but, unlike Green and Manning (2010), we keep all function tags.","At the phrasal level, we remove all function tags and traces.",http://www.aclweb.org/anthology/W/W13/W13-4917.pdf
"Green and Manning, 2010",W13-4917,"Data Sets The Arabic data set contains two tree- banks derived from the LDC Penn Arabic Treebanks (PATB) (Maamouri et al., 2004b):11 the Columbia Arabic Treebank (CATiB) (Habash and Roth, 2009), a dependency treebank, and the Stanford version of the PATB (Green and Manning, 2010)","The Penn Arabic Treebank (ATB) syntactic guidelines (Maamouri et al., 2004) were purposefully borrowed without major modification from English (Marcus et al., 1993).",http://www.aclweb.org/anthology/W/W13/W13-4917.pdf
2010,D11-1056,"Following Lee et al (2010), we report the best and median settings of hyperparameters based on the F- score, in addition to inferred values.",TheFigure 2: Graph of the one-to-one accuracy of our full model (+FEATS) under the best hyperparameter setting by iteration,http://www.aclweb.org/anthology/D/D11/D11-1056.pdf
"Lee et al., 2010",D11-1059,"However, despite a recent proliferation of syntactic class induction systems (Biemann, 2006; Goldwater and Griffiths, 2007; Johnson, 2007; Ravi and Knight, 2009; Berg-Kirkpatrick et al., 2010; Lee et al., 2010)",Our empirical results demonstrate that the type-based tagger rivals state-of-the-art tag-level taggers which employ more sophisticated learning mechanisms to exploit similar constraints.,http://www.aclweb.org/anthology/D/D11/D11-1059.pdf
2010,D11-1059,"This property is not strictly true of linguistic data, but is a good approximation: as Lee et al (2010) note, assigning each word type to its most frequent part of speech yields an upper bound accuracy of 93% or more for most languages.",In this way we restrict the parameterization of a Language Original case English Danish Dutch German Spanish Swedish Portuguese 94.6 96.3 96.6 95.5 95.4 93.3 95.6 Table 1: Upper bound on tagging accuracy assuming each word type is assigned to majority POS tag.,http://www.aclweb.org/anthology/D/D11/D11-1059.pdf
2010,D11-1059,"More recently, Lee et al (2010) presented a new type-based model, and also reported very good results.",Our empirical results demonstrate that the type-based tagger rivals state-of-the-art tag-level taggers which employ more sophisticated learning mechanisms to exploit similar constraints.,http://www.aclweb.org/anthology/D/D11/D11-1059.pdf
"Lee et al., 2010",D11-1059,"Sequence models are by far the most common method of supervised part- of-speech tagging, and have also been widely used for unsupervised part-of-speech tagging both with and without a dictionary (Smith and Eisner, 2005; Haghighi and Klein, 2006; Goldwater and Griffiths, 2007; Johnson, 2007; Ravi and Knight, 2009; Lee et al., 2010).",We consider the unsupervised POS induction problem without the use of a tagging dictionary.,http://www.aclweb.org/anthology/D/D11/D11-1059.pdf
"Lee et al., 2010",D11-1059,"As in previous work (Lee et al., 2010), we find that the one-class-per-type restriction boosts performance considerably over a comparable token- based model and yields results that are comparable to state-of-the-art even without the use of morphology or alignment features.",We consider the unsupervised POS induction problem without the use of a tagging dictionary.,http://www.aclweb.org/anthology/D/D11/D11-1059.pdf
2010,D11-1059,2 One could approximate this likelihood term by assuming independence between all nj feature tokens of word type j. This is the approach taken by Lee et al (2010).,For all languages we do not make use of a tagging dictionary.,http://www.aclweb.org/anthology/D/D11/D11-1059.pdf
2010,D11-1059,Following Lee et al (2010) we used only the training sections for each language.,Our experiments consistently demonstrate that this model architecture yields substantial performance gains over more complex tagging counterparts.,http://www.aclweb.org/anthology/D/D11/D11-1059.pdf
"Lee et al., 2010",D12-1086,"Given that close to 95% of the word occurrences in human labeled data are tagged with their most frequent part of speech (Lee et al., 2010)",Simply assigning to each word its most frequent associated tag in a corpus achieves 94.6% accuracy on the WSJ portion of the Penn Treebank.,http://www.aclweb.org/anthology/D/D12/D12-1086.pdf
"Lee et al., 2010",D12-1125,"vised POS induction algorithm (Lee et al., 2010)",We consider the unsupervised POS induction problem without the use of a tagging dictionary.,http://www.aclweb.org/anthology/D/D12/D12-1125.pdf
"Lee et al., 2010",D12-1127,"Unsupervised induction of POS taggers offers the possibility of avoiding costly annotation, but despite recent progress, the accuracy of unsupervised POS taggers still falls far behind supervised systems, and is not suitable for most applications (Berg- Kirkpatrick et al., 2010; Graca et al., 2011; Lee et al., 2010).",We consider the unsupervised POS induction problem without the use of a tagging dictionary.,http://www.aclweb.org/anthology/D/D12/D12-1127.pdf
"Lee et al., 2010",D13-1004,"Systems for inducing syntactic categories often make use of morpheme-like features, such as word-final characters (Smith and Eisner, 2005; Haghighi and Klein, 2006; Berg-Kirkpatrick et al., 2010; Lee et al., 2010)","We hypothesize that modeling morphological information will greatly constrain the set of possible tags, thereby further refining the representation of the tag lexicon.",http://www.aclweb.org/anthology/D/D13/D13-1004.pdf
"Lee et al., 2010",N12-1045,"Several unsupervised POS induction systems make use of morphological features (Blunsom and Cohn, 2011; Lee et al., 2010; Berg-Kirkpatrick et al., 2010; Clark, 2003; Christodoulopoulos et al., 2011)","We hypothesize that modeling morphological information will greatly constrain the set of possible tags, thereby further refining the representation of the tag lexicon.",http://www.aclweb.org/anthology/N/N12/N12-1045.pdf
2010,P11-1087,"Recently Lee et al (2010) combined the one class per word type constraint (Brown et al., 1992) in a HMM with a Dirichlet prior to achieve both forms of sparsity. However this work approximated the derivation of the Gibbs sampler (omitting the interdependence between events when sampling from a collapsed model), resulting in a model which underperformed Brown et al (1992)s one-class HMM.","First, it directly encodes linguistic intuitions about POS tag assignments: the model structure reflects the one-tag-per-word property, and a type- level tag prior captures the skew on tag assignments (e.g., there are fewer unique determiners than unique nouns). Learned Tag Prior (PRIOR) We next assume there exists a single prior distribution  over tag assignments drawn from DIRICHLET(, K ). During training, we treat as observed the language word types W as well as the token-level corpus w. We utilize Gibbs sampling to approximate our collapsed model posterior:",http://www.aclweb.org/anthology/P/P11/P11-1087.pdf
2010,P11-1087,"It is also interesting to compare the bigram PYP1HMM to the closely related model of Lee et al (2010). That model incorrectly assumed independence of the conditional sampling distributions, resulting in a accuracy of 66.4%",5 60.6 Table 3: Multilingual Results: We report token-level one-to-one and many-to-one accuracy on a variety of languages under several experimental settings (Section 5).,http://www.aclweb.org/anthology/P/P11/P11-1087.pdf
"Lee et al., 2010",P13-1150,"Similar constraints have been developed for part-of-speech tagging (Lee et al., 2010; Christodoulopoulos et al., 2011)",We have presented a method for unsupervised part- of-speech tagging that considers a word type and its allowed POS tags as a primary element of the model.,http://www.aclweb.org/anthology/P/P13/P13-1150.pdf
"Lee et al., 2010",W11-0301,"Here, W t refers to the set of word types that are generated by tag t. In other words, conditioned on tag t, we can only generate word w from the set of word types in W t which is generated earlier (Lee et al., 2010).","The model starts by generating a tag assignment for each word type in a vocabulary, assuming one tag per word. Then, token- level HMM emission parameters are drawn conditioned on these assignments such that each word is only allowed probability mass on a single assigned tag.",http://www.aclweb.org/anthology/W/W11/W11-0301.pdf
2010,W12-1914,"Second, learning categories has been cast as unsupervised part-of-speech tagging task (recent work includes Ravi and Knight (2009), Lee et al (2010), Lamar et al",We have presented a method for unsupervised part- of-speech tagging that considers a word type and its allowed POS tags as a primary element of the model.,http://www.aclweb.org/anthology/W/W12/W12-1914.pdf
"Hulden, 2009",N13-1140,"Recently, open-source tools have been released: in this paper, we used Foma (Hulden, 2009) to develop the Russian guesser.","Foma is a finite-state compiler, programming language, and regular expression/finite-state library designed for multipurpose use with explicit support for automata theoretic research, constructing lexical analyzers for programming languages, and building morphological/phonological analyzers, as well as spellchecking applications.",http://www.aclweb.org/anthology/N/N13/N13-1140.pdf
